159912200,4983800,1725500,2006800
149569400,14815200,2242400,360000
156515700,1167000,958200,709800
155167700,1573600,1074500,470000
148011000,2403800,410900,315200
157801400,2759700,856900,1298900
144826900,4275500,749800,370800
156634400,2256900,380900,1062000
162109900,2260000,376300,331400
147748900,2078000,1290900,663400
146149300,3055000,500800,254000
151224700,2350700,584700,231400
153345700,1567600,472300,512800
149307900,4006400,791600,670300
158864300,2192000,710400,888900
157314000,2113600,350400,418200
156371300,2932100,592800,477800
151413400,1052800,396600,282800
154263700,1572600,1378800,968500
155698700,2241600,837000,948600
150487000,3303300,1307100,1398800
162591300,5935000,481600,447200
160081500,2020800,375700,219400
159456500,2184400,606900,447900
163055600,2597400,1430600,4578200
157961400,1445000,897000,902100
156143300,2728100,553800,514400
142933300,1203800,468900,559500
148623500,1491300,463700,374700
161099500,11525700,372400,202100
155037500,3074700,2745000,1411000
154008200,1308600,1012300,2340300
