186243000,2274700,461000,279900
161708800,2287900,874000,983400
164762900,2540400,8365900,1206700
169495300,4648800,6361100,1190200
164855300,2987400,608200,507400
175308100,3625500,546700,347300
168409200,2982500,556100,430400
162271100,6403800,413800,316900
164758300,14387600,1898600,2306000
161031200,2187200,724800,386000
161489900,87824700,5239100,1260600
172577900,5227100,2342700,1139600
161468700,2470700,1316100,678900
177279000,15245100,1494600,2029400
185040200,2231000,3918300,580700
162271000,10054800,493300,354300
