87035400, 783300, 987700
65986700, 309000, 3340800
89567900, 441400, 293600
68420600, 506600, 11020300
80265100, 226700, 285400
92842400, 263700, 1706800
75211300, 386200, 2919700
90969800, 346300, 207500
78848000, 336400, 2676400
92920400, 810500, 559600
110817700, 396500, 456800
77509300, 163100, 223700
76832000, 287200, 3396400
68601200, 174000, 1697100
97379700, 259900, 2034400
115484400, 612000, 5098900
75153600, 442100, 2262300
89090900, 130100, 169700
81408700, 132300, 596100
110619500, 193900, 1657200
92518900, 906000, 17482600
75794200, 219900, 243600
69659900, 895200, 702500
62650400, 134900, 186100
65161600, 1124500, 548700
65226600, 353400, 520700
88285600, 1122900, 375300
84104900, 484900, 621400
73321600, 8841700, 264700
93834800, 624400, 242600
70760100, 190900, 669700
69514900, 217500, 295100
